a, b, c, d, e, f, g, h, i
-1.500000, 1.000000, 162.500000, 0.949310, 0.314341, 0.000000, 0.000000, -1.056387, 1.146892
4.324443, 0.949310, 0.314341, 0.467300, 9.000000, -1.064775, 1.141099, 4.268703, -0.822863
-0.568240, 0.010193, 4.000000, -1.016607, 1.070068, 4.200503, 0.561247, -0.827648, 0.085824
7.000000, -1.027326, 1.062834, 4.115579, -0.828923, -0.559362, 0.012932, 4.000000, -0.481896
0.250864, 2.230762, 0.557610, -0.830103, 0.978156, 11.000000, -0.484289, 0.236690, 2.203577
-0.166452, -0.986049, 0.014375, 4.000000, -0.462059, 0.232936, 2.175397, 0.986040, -0.166510
0.022544, 5.000000, -0.464619, 0.218043, 2.145582, -0.169435, -0.985541, 0.015111, 5.000000
-0.439758, 0.213767, 2.114437, 0.985529, -0.169507, 0.025227, 5.000000, -0.442492, 0.197966
2.081254, -0.170526, -0.985353, 0.016036, 5.000000, -0.413911, 0.193016, 2.046204, 0.985330
-0.170661, 0.029007, 5.000000, -0.416909, 0.175990, 2.008104, -0.173375, -0.984856, 0.017287
5.000000, -0.382149, 0.169864, 1.967102, 0.984819, -0.173583, 0.035295, 6.000000, -0.385633
0.150950, 1.920479, -0.181138, -0.983458, 0.019231, 5.000000, -0.339144, 0.142374, 1.868137
0.983404, -0.181427, 0.047273, 6.000000, -0.343342, 0.120131, 1.805074, -0.185474, -0.982649
0.022635, 5.000000, 0.133235, 0.030055, 0.766417, 0.982603, -0.185719, 0.485015, 10.000000
0.147495, 0.015368, 0.730843, 0.696624, -0.717437, 0.020470, 5.000000, 0.179277, 0.045931
0.692606, 0.720791, 0.693152, 0.044092, 6.000000, 0.192910, 0.031635, 0.654507, 0.690144
-0.723672, 0.019755, 5.000000, 0.235721, 0.071992, 0.611109, 0.727654, 0.685945, 0.058834
6.000000, 0.249358, 0.057434, 0.565716, 0.683622, -0.729837, 0.019948, 5.000000, 0.617375
0.397238, 0.172278, 0.734708, 0.678384, 0.500902, 10.000000, 0.626732, 0.390883, 0.139694
0.827286, -0.561781, 0.011311, 4.000000, 0.802689, 0.641888, 0.039518, 0.574017, 0.818843
0.306535, 9.000000, 0.802085, 0.642651, 0.039218, -0.620136, 0.784494, 0.000973, 6.000000
